1n,2,C6 C7,Farnell,1856477,Multicomp,MCSH21B102K500CT,"CONDENSATORE, 0805, X7R, 50V, 1NF",,
10n,1,C5,Farnell,1856485,Multicomp,MCSH21B103K500CT," Â± 10%, X7R, 50V, 0805 [2012 Metric]",,
100n,2,C2 C4,Farnell,1856468,Multicomp,MCSH21B104K250CT," CONDENSATORE, 0805, X7R, 25V, 100NF",,
10u,1,C1,Farnell,2112753,MULTICOMP,MC1206X106K250CT,"CAP, CERAMICA, 10UF, 25V, X5R, 1206",,
22u,1,C3,Farnell,2112725,TDK,C3225X7R1C226K250AC,"CONDENSATORE, 22UF, 16V, X7R, 1210",,
LED_R,1,D1,Farnell,1328308,VISHAY,TLMS1000-GS08,"LED, 0603, RED, 4MCD, 628NM",,
TI_BOOSTER_40_J1,1,J1,Farnell,1593464,Multicomp,2212S-10SG-85,STACKABLE HEADER 10 PINS 2.54MM,Taydaelectronics,A-1053
TI_BOOSTER_40_J2,1,J2,Farnell,1593464,Multicomp,2212S-10SG-85,STACKABLE HEADER 10 PINS 2.54MM,Taydaelectronics,A-1053
TI_BOOSTER_40_J3,1,J3,Farnell,1593464,Multicomp,2212S-10SG-85,STACKABLE HEADER 10 PINS 2.54MM,Taydaelectronics,A-1053
TI_BOOSTER_40_J4,1,J4,Farnell,1593464,Multicomp,2212S-10SG-85,STACKABLE HEADER 10 PINS 2.54MM,Taydaelectronics,A-1053
2u2,1,L1,Farnell,1612110,TAIYO YUDEN,NR3015T2R2M,POWER INDUCTOR,,
CAN,1,P6,Farnell,3041414,PHOENIX CONTACT ,1725672,"MORSETTIERA, 2,54MM, A 4 VIE, 20AWG",,
UART1,1,P7,Farnell,1593440,Multicomp,2213S-06G,3x2 male header,,
RS485,1,P8,Farnell,3041414,PHOENIX CONTACT ,1725672,"MORSETTIERA, 2,54MM, A 4 VIE, 20AWG",,
UART2,1,P9,Farnell,1593440,Multicomp,2213S-06G,3x2 male header,,
ANT_GND,1,P1,,,,,,,
ANT_C,1,P5,,,,,,,
EB_GPIO0,1,P10,Farnell,1593442,MULTICOMP,2213S-10G,"CONNECTOR, HEADER, THT, 2.54MM, 10WAY",,
TSM3457,1,Q2,Farnell,1864583,TAIWAN SEMICONDUCTOR,TSM3457CX6," MOSFET, P CH, 30V, 5A, SOT26",,
PDTC124XT,1,Q3,Farnell,8737207,NXP,PDTC124XT,"TRANSISTOR, DIGITALE, SOT-23 NPN",,
NTR4101P,1,Q1,Farnell,1431303,ON SEMICONDUCTOR,NTR4101PT1G,"MOSFET, P, 20V, SOT-23",,
0,4,R10 R11 R16 R17,Farnell,2073603,MULTICOMP,MCMR08X000 PTL," RESISTORE, 0805, 0R, ANTI SOLFATAZIONE",,
22,2,R21 R22,Farnell,1652962,VISHAY DRALORIC,CRCW080522R0FKEA,"RESISTOR, 22R0, 0.125W, 1%, 0805, SMD",,
120,3,R4 R8 R14,Farnell,2073624,MULTICOMP,MCMR08X1200FTL,"RESISTOR, 0805, 120R, 1%, ANTI SULFUR",,
560,2,R13 R15,Farnell,1469945,VISHAY DRALORIC,CRCW0805560RFKEA,"RESISTORE, 560R, 0.125W, 1%, 0805, SMD",,
750,1,R12,Farnell,2057606,PANASONIC,ERJ6ENF7500V,"RESISTORE, 0805, 750R 1%, 0.125W",,
1k91,1,R20,Farnell,2138942,VISHAY DRALORIC,CRCW08051K91FKEA,"RESISTORE, 0805, 1K91, 1%",,
4k7,4,R23 R24 R25 R26,Farnell,2073779,MULTICOMP,MCMR08X4701FTL," RESISTOR, 0805, 4K7, 1%, ANTI SULFUR",,
10k,5,R1 R2 R7 R18 R19,Farnell,2073607,MULTICOMP,MCMR08X1002FTL,"RESISTOR, 0805, 10K, 1%, ANTI SULFUR",,
95k3,1,R6,Farnell,1653045,VISHAY DRALORIC,CRCW080595K3FKEA,"RESISTOR, 0805, 95K3, 1%",,
100k,1,R3,Farnell,1652905,VISHAY DRALORIC,CRCW0805100KFKTA,"RESISTOR, 0805, 100K, 1%, THICK FILM CHIP RESISTOR",,
300k,1,R5,Farnell,2139063,VISHAY DRALORIC,CRCW0805300KFKEA,"RESISTORE, 0805, 300K, 1%",,
SLIDE_SWITCH_SPDT,1,SW1,Farnell,1123875,ALPS,STSSS9121,"SLIDE SWITCH, SP 2 POS, VERT",,
SLIDE_SWITCH_4PDT,1,SW2,Farnell,1197659,TE CONNECTIVITY,ASE4204,"INTERRUTTORE, 4PDT, 0,3A, 115VAC, THT",,
SMCJ12CA,1,TVS3,Farnell,1017847,FAIRCHILD SEMICONDUCTOR,SMCJ12CA,"DIODE, TVS, 12V, 1500W, SMC",,
ESD5B5.0ST1G,1,TVS4,Farnell,2317513,ON SEMICONDUCTOR,ESD5B5.0ST1G,"ESD PROTECTION DIODE, 5V, SOD-523-2",,
CDSOT23-SM712,2,TVS1 TVS2,Farnell,1824869,BOURNS,CDSOT23-SM712,"DIODE, UNIDIR TVS, 2 LINE, 7V&12V, SOT23",,
RFM23B,1,U4,Idetron,RFM23B-433-S2,HopeRF,RFM23B-433-S2,"The transceiver module is a complete RF receiver and transmitter, suited for exchanging data with a data rate up to 256 kbit/s. ",,
SN65HVD234,1,U1,Farnell,1212363,Texas Instruments,SN65HVD234D,"TRANSCEIVER CAN, 65HVD234, SOIC8",,
TPS62160,1,U2,Farnell,2099930,Texas Instruments,TPS62160DGKT," BUCK, 3V-17VIN, 2.25MHZ, 1A, ADJ, 8MSOP",,
SN65HVD11,1,U3,Farnell,1100955,Texas Instruments,SN65HVD11D,3.3-V RS-485 TRANSCEIVERS,,
